frame,id,x,y,speed,acceleration,distance_centroid,heading_change
0,0,18.920664665970875,10.939123857099128,0.1,0.1,11.192245781480368,232.5
0,1,13.903185235962189,17.974961999594555,0.1,0.1,12.595216224538563,255.5
0,2,11.071224955490717,19.929807367086386,0.1,0.1,15.379921438879018,134.5817586987818
0,3,11.03665012267243,13.906958243201798,0.1,0.1,16.293924403904445,158.5
0,4,17.07132504491542,19.929909073570016,0.1,0.1,9.38991346888116,134.5
0,5,14.97665546361441,16.902763007960232,0.1,0.1,11.693340739843789,193.5
0,6,13.018223552549214,15.901674509243605,0.1,0.1,13.824633682014625,169.5
0,7,13.067559020761566,14.926272266318987,0.1,0.1,14.044574116688384,137.5
0,8,11.907612046748872,10.961731656763492,0.1,0.1,16.717560846747972,247.5
0,9,15.91473598356459,15.947750143528404,0.1,0.1,11.021773822674811,238.5
0,10,14.099144486137382,14.986947380777995,0.1,0.1,13.046652920993834,97.5
0,11,15.901371439846276,18.016504760586066,0.1,0.1,10.604060355286487,279.5
0,12,16.93544027674964,14.076367808229888,0.1,0.1,10.80944113551885,319.78953130943756
0,13,18.939123857099126,14.079335334029123,0.1,0.1,9.097167074719572,322.5
0,14,10.980063206558281,12.097992470462083,0.1,0.1,17.02295734541361,348.5
0,15,9.97665546361441,15.097236992039768,0.1,0.1,16.970488462887882,346.5
0,16,3.0958819734868195,39.02840153447039,0.1,0.1,30.60347545529806,73.5
0,17,3.9569488903191705,37.90974147156501,0.1,0.1,29.22471783875006,205.5
0,18,3.9350551951669814,39.076040596560006,0.1,0.1,29.999891119425545,319.5
0,19,4.053729960834683,43.915660855418714,0.1,0.1,33.3189199903694,147.5
0,20,3.9904154247479777,37.90046038016328,0.1,0.1,29.193049102531116,185.5
0,21,11.096814764037811,36.025038000405445,0.1,0.1,22.74267890158593,75.5
0,22,8.933737995178426,38.0748955720789,0.1,0.1,25.7159099654681,318.5
0,23,4.023344536385591,35.09723699203977,0.1,0.1,27.45832056005335,13.5
0,24,3.039874906892525,35.09170600743851,0.1,0.1,28.263655543193238,23.5
0,25,2.909741471565014,35.04305110968083,0.1,0.1,28.34430161779886,295.5
0,26,9.900642814432342,39.98867967862321,0.1,0.1,26.536346051133112,263.5
0,27,2.023625769412672,37.0971690435255,0.1,0.1,30.24973633573446,13.665771131788574
0,28,3.080385686061722,40.059482278675134,0.1,0.1,31.291849659281013,53.5
0,29,6.085264016435409,41.9477501435284,0.1,0.1,30.4970038250907,121.5
0,30,7.915660855418712,39.94627003916532,0.1,0.1,27.78491407929891,237.5
0,31,9.900855513862618,35.013052619222,0.1,0.1,22.85578122260219,277.5
0,32,62.0748955720789,6.066262004821573,0.1,0.1,37.99407723120749,48.5
0,33,60.94192970442891,0.08141155183563194,0.1,0.1,39.46520361605577,324.5
0,34,61.96173165676349,1.0923879532511287,0.1,0.1,39.89009394550842,337.5
0,35,57.90829399256149,0.9601250931074753,0.1,0.1,36.39311001622967,246.5
0,36,54.09953961983672,8.009584575252022,0.1,0.1,29.854326983840156,84.5
0,37,58.981776447450784,6.0983254907563955,0.1,0.1,35.096999441872924,349.5
0,38,54.06883545756938,4.927462562898771,0.1,0.1,31.117020656617143,136.5
0,39,55.000872653549834,0.09996573249755573,0.1,0.1,34.38135039066236,358.5
0,40,58.95228412397404,2.9121182887338035,0.1,0.1,36.38316576684961,208.5
0,41,62.07132504491542,8.070090926429986,0.1,0.1,37.34355683704669,45.5
0,42,61.07372773368101,0.07372773368101239,0.1,0.1,39.58421200227625,317.5
0,43,62.969929420049574,8.904628304925177,0.1,0.1,37.96653758394788,197.5
0,44,62.91129891668218,3.0461748613235033,0.1,0.1,39.90639581554417,297.5
0,45,60.05372996083468,0.07826081568524139,0.1,0.1,38.69256338530253,321.5
0,46,58.07372773368101,8.932440979238434,0.1,0.1,33.27305040381128,132.5
0,47,62.09238795325113,6.961731656763491,0.1,0.1,37.70964487892416,112.5
1,0,18.83156401355204,10.893724807125173,0.1,0,11.281989659636132,10.5
1,1,13.812554457258525,17.932700173420486,0.1,0,12.681363752331869,-10.5
1,2,11.128465651173299,19.847810399107235,0.1,0,15.310507076498386,10.5
1,3,11.07248691762696,13.813600200552077,0.1,0,16.28366373059569,0.5
1,4,17.128682688550523,19.847993869141117,0.1,0,9.318175497248804,10.5
1,5,14.951441374574648,16.805993954467418,0.1,0,11.729812061835679,1.1042352910762645
1,6,13.033866999053238,15.80290567518409,0.1,0,13.825941328885289,1.5
1,7,13.137024857807466,14.854338286285122,0.1,0,13.993472846911168,-1.5
1,8,11.815561561403628,10.922658543914565,0.1,0,16.81075128796279,-0.5
1,9,15.829931173948948,15.894758217105084,0.1,0,11.111149003384458,-0.5
